name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
OnRender,C:\PRC2\cw24-Bluhzies\application\src\GAMR3531.cpp,357,1896151769,6.609847,1488,1274295,265178,57451369,3156121.242634
onImGUIRender,C:\PRC2\cw24-Bluhzies\application\src\GAMR3531.cpp,544,1711591,0.005966,1488,1150,732,4358,292.877665
Material,C:\PRC2\cw24-Bluhzies\DemonRenderer\src\rendering\renderer.cpp,113,730216735,2.545482,1435870,508,255,453137,2409.669700
RPass,C:\PRC2\cw24-Bluhzies\DemonRenderer\src\rendering\renderer.cpp,64,1261476395,4.397415,22320,56517,783,56122966,518995.834308
UBO,C:\PRC2\cw24-Bluhzies\DemonRenderer\src\buffers\UBOmanager.cpp,25,36601927,0.127592,22320,1639,26,327304,8628.837680
Material,C:\PRC2\cw24-Bluhzies\DemonRenderer\src\rendering\material.cpp,37,389967618,1.359399,1435870,271,114,214384,1037.441815
UIBegin,C:\PRC2\cw24-Bluhzies\application\src\GAMR3531.cpp,366,182902,0.000638,1488,122,4,17527,676.592573
SeventhTopCircleDraw,C:\PRC2\cw24-Bluhzies\application\src\GAMR3531.cpp,425,140150,0.000489,1444,97,17,4581,119.222533
TargetCircles,C:\PRC2\cw24-Bluhzies\application\src\GAMR3531.cpp,442,272044,0.000948,1444,188,99,612,38.953479
Entity,C:\PRC2\cw24-Bluhzies\DemonRenderer\src\rendering\renderer.cpp,109,859180007,2.995039,1435870,598,291,551323,3020.789559
CloseTargetQuads,C:\PRC2\cw24-Bluhzies\application\src\GAMR3531.cpp,458,73749,0.000257,1444,51,5,747,38.377479
CheckWaypointCollision,C:\PRC2\cw24-Bluhzies\application\src\GAMR3531.cpp,567,806585617,2.811699,1444,558577,68076,15351941,2527864.217826
Draw,C:\PRC2\cw24-Bluhzies\DemonRenderer\src\rendering\renderer.cpp,123,156905866,0.546962,1435870,109,26,401589,1080.452098
Run,C:\PRC2\cw24-Bluhzies\DemonRenderer\src\core\application.cpp,25,24999267338,87.145625,1488,16800582,9774202,96276719,2585331.707098
OnUpdate,C:\PRC2\cw24-Bluhzies\application\src\GAMR3531.cpp,474,1261442084,4.397295,1488,847743,87,15648425,2499218.142568
CloseShipCircles,C:\PRC2\cw24-Bluhzies\application\src\GAMR3531.cpp,450,222853,0.000777,1444,154,12,1075,103.461480
OverallRPass,C:\PRC2\cw24-Bluhzies\DemonRenderer\src\rendering\renderer.cpp,54,1885745958,6.573573,2976,633651,1846,57284606,2300881.768154
FourthQuadDraw,C:\PRC2\cw24-Bluhzies\application\src\GAMR3531.cpp,380,83080,0.000290,1444,57,18,234,12.772274
TenthBottomCircleDraw,C:\PRC2\cw24-Bluhzies\application\src\GAMR3531.cpp,407,75897,0.000265,1444,52,26,294,9.968036
